""	"H1975_DMSO_1"	"H1975_DMSO_2"	"H1975_DMSO_3"	"H1975_osi_DTP_1"	"H1975_osi_DTP_2"	"H1975_osi_DTP_3"
"EIF3H"	217.74913646096	169.481115625481	222.317482537882	164.321579742295	167.584545731419	192.811618801795
"EIF3I"	257.854520346277	281.955176061498	290.507567381518	202.624011674722	228.694879948381	162.62856664764
"EIF3J"	83.3453893324829	110.511409344261	90.6351270873383	63.3967994419029	85.1017109609978	70.0745560433164
"EIF3K"	119.72196826634	118.301684368293	123.428967227925	83.8272860127337	95.0354400051038	82.8081179801533
"EIF3L"	313.523960381056	325.022221921571	326.892919385522	385.936393650143	381.276453154716	473.098543950045
"EIF3M"	157.099217972154	202.223302217785	175.80571419048	167.69563436585	201.478112872235	189.114941607954
"EIF4A1"	1356.24620951715	1731.58154549562	1523.58474186364	1342.10693308022	1485.50328464022	1226.62724199133
"EIF4A2"	262.197207807341	288.652392347934	268.66849452621	385.9911238428	321.531095797947	486.085115515888
"EIF4A3"	2.33706264741022	0.853379732436765	3.47442855195198	2.01328295969657	1.92768169781512	2.71633634747442
"EIF4B"	577.357564872384	419.873642743358	554.12477647462	550.717105511988	440.344300931915	645.795581953087
"EIF4E"	64.9675285538843	70.5373776276457	65.416684177803	39.314834814295	49.5957011816182	42.7633794868441
"EIF4E1B"	0.0159520385280989	0.0316944781456063	0.0245407324925434	0	0	0.0782595138385334
"EIF4E2"	66.387402147622	73.575509399873	69.0627210055832	66.6928666959547	65.5874944679149	56.6070936891439
"EIF4E3"	4.86294814313157	3.57344451514293	4.12526300006887	5.50065261398627	4.66168063375601	4.87099686368251
"EIF4EBP1"	77.6146450844123	62.331134351206	71.64940821472	39.4006044184891	46.1064723026898	42.5948011333924
"EIF4EBP2"	195.504613366542	147.07410250254	179.270007653583	187.099402127601	189.236302130062	165.601683555943
"EIF4EBP3"	1.70351021464193	4.34216553888098	1.91305901391199	5.80725498845859	6.67015284935198	7.26480062510077
"EIF4ENIF1"	41.3265233944671	54.9128508086773	51.9221189226283	52.6470448884593	64.2963130778942	71.7218723605153
"EIF4G1"	1174.47456714834	1139.6247626052	1190.32258567784	847.044637759947	938.79985021066	719.670705289808
"EIF4G2"	1107.00468168976	1183.57509361762	1122.16138349468	895.640282760762	996.588464454053	863.33341726302
"EIF4G3"	71.1178264581588	75.3171869191225	86.0826130946904	71.1304166261721	72.9319541518827	77.597282226144
"EIF4H"	781.591557964464	638.973489948128	752.779384482321	398.448394307676	446.053898465294	356.56314110008
"EIF5"	475.487586013664	436.582379359666	445.53269588953	228.808767726026	219.840168134901	174.566595925731
"EIF5A"	955.244886142922	1067.15906556641	1041.99648852201	656.922494682341	855.453055246561	550.563964192072
"EIF5A2"	18.6249249458052	24.2660972014464	21.5066013634725	10.7428971170217	13.5401510829547	9.3402959630623
"EIF5AL1"	0.534278601852107	0.877650543381924	0.659718807081772	0.810512601585744	0.752217648555761	0.469667502107986
"EIF5B"	195.633254471018	209.893957831	208.773629336906	150.315188396994	173.425519769661	147.709646171957
"EIF6"	104.442986187934	129.995191763656	111.138852663227	114.957594911617	115.459810186408	112.729343221104
"EIPR1"	39.6836355544045	41.4529252977177	39.7219019132686	29.4530978631823	32.8693729415969	32.47167909382
"ELAC1"	6.46473050847213	6.5404033665513	5.98927163940581	5.07192621192035	6.59663089180655	6.39054178151706
"ELAC2"	193.487042592759	235.631813349724	200.528278315782	153.540396071273	179.947537950518	156.681438719371
"ELANE"	0	0.0490340566769789	0.0243254989369176	0.124837821985137	0.112409023175799	0.200787712131965
"ELAVL1"	26.2026649793569	24.5854080530198	18.7358691156627	27.1694645545386	37.0469344102541	31.5560350702659
"ELAVL2"	0.862019323739348	0.387214315054646	0.687554215177414	0.0879563764406761	0.0371319076780562	0.0922055640544729
"ELAVL3"	0.704377154518032	0.654305654202163	0.503963333483161	0.724527958243469	0.802367251513471	0.506150328232378
"ELAVL4"	0.0440836922762724	0.0236203431353268	0	0	0	0
"ELF1"	50.3783313948946	26.7310608280675	50.3745135029385	33.0532545255704	34.7555894081387	32.2588089906299
"ELF2"	22.3265150534579	18.5762531082469	20.0305979804482	23.9249428044882	23.4493962346952	22.178156817803
"ELF3"	70.4070989002849	23.9079307089485	63.6312565850355	60.4624661160302	49.0778358748964	93.6268271581543
"ELF4"	107.59014692639	94.387163497241	100.699520365802	66.2291455408521	72.9441230361947	66.1129971520281
"ELF5"	0.0380019497624202	0.0651011596664366	0.0409706440143609	0.0829251298358823	0	0.0226387789566579
"ELFN1"	0.765621238224741	0.946505336648918	0.798697058298299	0.600374989101203	0.605410026067747	0.764620630247186
"ELFN2"	107.967679728419	80.5963558146708	98.3976489746274	67.0776438137588	46.5479428849049	59.7898624214701
"ELK1"	25.7300680283646	23.7022087848816	23.89653141069	16.1804659547254	21.7533968316756	20.0777929127047
"ELK3"	92.580505119543	73.7781993631927	77.5641896997096	43.3117492690857	49.048595914435	47.7115998679733
"ELK4"	55.6161382232732	66.0328579261912	42.4166422382894	48.5620562741104	67.7887933761279	55.931724727036
"ELL"	20.2407287638994	28.159283054235	23.7461080422318	30.049851911287	27.1359106162299	31.3025594094444
"ELL2"	127.282667177514	111.954489632728	118.499059489664	98.3580454054071	97.9479608084089	73.9222795895829
"ELL3"	2.65137897885948	1.80741050459249	2.20549156872091	1.88985274909354	3.18907435577989	1.3442346740632
"ELMO1"	0.120226641699779	0.274722755991495	0.18631755877887	0.246225288860821	0.223043811864948	0.262197616304344
"ELMO2"	35.9781130373495	42.8088294904313	36.344410438935	35.8664195429188	32.4955880177981	32.9627340814567
"ELMO3"	83.0812120669812	33.8268394093933	70.2775538315369	19.4576069307787	17.444927781337	19.3490229203621
"ELMOD1"	1.62936760631329	0.539939704844534	1.11914434196165	0.873850547532809	1.10905569417531	1.46548883581197
"ELMOD2"	20.3833155949492	21.234849302025	21.9105192323694	30.202300768587	29.9465832133429	27.4289755928366
"ELMOD3"	21.4758393446175	21.9241454446754	20.8036347393457	21.9112638101014	17.4447988532422	23.4957681888684
"ELMSAN1"	95.0570706426542	78.5182677157568	98.0424379282139	86.1672724199906	77.5791446086244	86.3237270879668
"ELN"	0.568586820488283	0.238126105615716	0.38830537847599	0.753423779033651	0.393658136306735	0.599114387863998
"ELOA"	88.9480417568896	102.122701609838	89.7187650199212	63.5941648440833	81.1515044228003	57.0367671464872
"ELOA2"	0.03933350916397	0.0218854941203262	0	0.0213545579817331	0.0770020612865532	0.0228190048449372
"ELOA3"	0	0	0	0	0.0477134301785595	0.0242836739334678
"ELOA3B"	0	0	0	0	0.0959651045694525	0
"ELOA3D"	0	0.023632941578546	0.0234579602509451	0.0402283756248876	0	0.0246647948438331
"ELOB"	91.3307394584737	109.164234757395	98.9590417991915	120.265781613074	104.720252708425	104.829603131245
"ELOC"	79.742000761723	53.583684370689	76.2887360719785	34.1541287989858	41.1287101674624	29.7388521197834
"ELOF1"	95.2368264369138	132.078878794922	98.0637461166122	108.162399600938	115.083622370242	112.759190144928
"ELOVL1"	91.0271710892427	115.164227269637	99.1303300487102	97.6595453449897	111.660182059317	93.1945168204793
"ELOVL2"	0.0211161029325457	0.0234947132239184	0.0233245908862647	0.0229248415021749	0.0413370751210559	0.0244883185912414
"ELOVL3"	2.54260905791298	1.38088996202387	1.90473875325523	1.68988421397082	1.76922170708021	2.15173919565387
"ELOVL4"	0	0	0	0	0	0
"ELOVL5"	149.486783481448	161.256104070069	156.308558500249	143.57675870688	177.275272013965	142.484156228476
"ELOVL6"	96.0533400903124	130.284723628445	104.168909734418	47.9148672841804	80.6847908633344	31.6873730075923
"ELOVL7"	2.84732537491873	1.79967036111643	3.20301766113742	2.7142431715008	2.9395220526269	2.73519709701271
"ELP1"	112.392688785026	121.0551801832	109.862799372664	94.7744222790507	103.158199302944	96.8476283898028
"ELP2"	60.9240196276105	60.1892610859965	62.0953184364732	60.8994969541445	59.463448081253	67.768672134231
"ELP3"	39.1709437248331	43.2644240959883	38.5171128959047	33.8154891021074	35.3836436638672	31.5536425526946
"ELP4"	17.807357199254	19.7020538758719	16.8578735139045	18.9371991628014	19.4742707350235	17.614244278438
"ELP5"	83.069873942394	116.575384491225	98.3643723820771	89.5603806738156	102.271001370296	78.1053900822073
"ELP6"	33.3615589845939	41.3454936912832	34.108130502391	28.2697454605088	31.8976373352264	27.4525922245738
"ELSPBP1"	0	0	0	0	0	0
"EMB"	60.7772178873758	64.7523644777671	59.5076096937776	79.1101523594968	76.1861621243344	62.327833903631
"EMC1"	128.706156088495	145.938327993394	125.187693882597	143.536114818411	154.730732842536	149.772859130187
"EMC10"	43.3183087908933	50.3045277528061	40.8976175069769	56.2474535077409	53.6983813016092	44.007433131149
"EMC2"	21.499523316677	20.3775979922995	21.8438729653682	19.2926865313838	23.442450839985	18.4757329683318
"EMC3"	38.5956878189788	40.869892680179	45.7915213766538	52.1819393925044	49.0208751834043	41.8974722502888
"EMC4"	58.1485501330049	64.5347559737186	57.7215757138197	49.0009939900714	51.0047080759768	44.8262453727801
"EMC6"	30.9302882144333	43.3320625434613	34.6136531483153	32.0350008828293	36.8501133245804	26.6623169555804
"EMC7"	30.8607819820966	35.877375180267	35.6428041438878	29.0063416684973	33.8437882422982	27.1460117915493
"EMC8"	61.5331196828156	56.3096936246645	56.1867413607876	27.6571968319673	37.201650021868	32.0463071167959
"EMC9"	10.7174799454746	10.1879661150474	9.57039787342544	7.10143864622655	7.98603152817418	5.51222428332003
"EMCN"	0.25404523030336	0.359210845763383	0.396965944412152	0.193871948863054	0.396369773927859	0.348063771900428
"EMD"	91.0596588776472	84.7482406526206	86.3663192255968	76.0672325762042	82.1496487047327	80.1046072093264
"EME1"	24.2535126607375	22.1575886416744	20.0006460230049	5.71806814625548	7.7183073974229	5.40661871723903
"EME2"	32.2551362889459	34.2691409181464	26.8084123485884	32.6312799375819	32.0583378734124	27.0830535177207
"EMG1"	41.681816984265	53.0436041966462	44.5391620797837	29.0984265739298	36.0469258410199	27.853851166865
"EMID1"	1.02880140481653	1.0832790988236	1.53229417642506	4.0490051710779	3.07554227602151	5.65576056348027
"EMILIN1"	0.88030222969698	0.852536941618478	0.602745745317685	0.845405984655625	0.974225989443526	0.356207318226043
